CCAA,Total_Ingresados,PercCamasCovid,UCI,PerCamasUCI,Ingresos24h,Altas24h,fecha
Islas Canarias,278,509,88,1845,25,6,2021-03-29
La Rioja,44,609,17,3208,2,0,2021-03-29
Melilla,33,1813,4,2353,4,3,2021-03-29
País Vasco,475,984,85,1995,27,11,2021-03-29
Principado de Asturias,251,722,70,2147,32,34,2021-03-29
Región de Murcia,91,22,40,823,8,11,2021-03-29
Andalucía,1059,587,247,1325,170,158,2021-03-30
Aragón,268,642,52,2241,31,22,2021-03-30
Cantabria,78,496,22,1833,12,7,2021-03-30
Castilla y León,418,616,116,2121,51,42,2021-03-30
Castilla-La Mancha,218,447,46,117,26,10,2021-03-30
Cataluña,2006,802,466,3345,249,242,2021-03-30
Ceuta,28,1407,5,2941,3,4,2021-03-30
Comunidad de Madrid,2091,1245,421,3437,241,263,2021-03-30
Comunidad Foral de Navarra,110,573,21,1579,17,8,2021-03-30
Comunidad Valenciana,283,251,84,896,34,33,2021-03-30
España,8065,651,1844,1852,1027,957,2021-03-30
Extremadura,70,237,14,66,8,0,2021-03-30
Galicia,205,244,32,411,33,12,2021-03-30
Islas Baleares,69,212,20,719,8,7,2021-03-30
Islas Canarias,275,503,88,1845,28,27,2021-03-30
La Rioja,47,65,17,3208,6,3,2021-03-30
Melilla,28,1538,3,1765,3,8,2021-03-30
País Vasco,464,967,83,1774,61,77,2021-03-30
Principado de Asturias,256,737,68,2086,32,24,2021-03-30
Región de Murcia,92,225,39,802,14,10,2021-03-30
Andalucía,1060,586,249,1337,163,156,2021-03-31
Aragón,282,676,51,2198,32,21,2021-03-31
Cantabria,80,509,21,175,14,14,2021-03-31
Castilla y León,436,642,116,2121,58,42,2021-03-31
Castilla-La Mancha,240,492,46,1168,38,16,2021-03-31
Cataluña,1995,797,469,3374,233,242,2021-03-31
Ceuta,25,125,6,3529,2,4,2021-03-31
Comunidad de Madrid,2111,1248,417,3407,241,260,2021-03-31
Comunidad Foral de Navarra,111,581,20,1504,11,8,2021-03-31
Comunidad Valenciana,276,241,83,872,30,32,2021-03-31
España,8083,65,1831,1844,1001,984,2021-03-31
Extremadura,65,22,15,708,2,4,2021-03-31
Galicia,199,237,30,385,35,29,2021-03-31
Islas Baleares,71,219,20,719,6,11,2021-03-31
Islas Canarias,273,5,88,1845,29,20,2021-03-31
La Rioja,49,678,18,3396,6,4,2021-03-31
Melilla,27,1484,2,1176,3,4,2021-03-31
País Vasco,462,96,82,1903,67,74,2021-03-31
Principado de Asturias,234,673,61,1871,20,34,2021-03-31
Región de Murcia,87,211,37,761,11,9,2021-03-31
Andalucía,1069,592,262,1407,152,152,2021-04-01
Aragón,286,685,49,2112,31,39,2021-04-01
Cantabria,71,452,16,1333,17,10,2021-04-01
Castilla y León,437,647,121,2296,76,62,2021-04-01
Castilla-La Mancha,246,505,49,125,36,29,2021-04-01
Cataluña,1964,784,470,3331,236,267,2021-04-01
Ceuta,25,125,6,3529,2,4,2021-04-01
Comunidad de Madrid,2050,1212,429,327,246,328,2021-04-01
Comunidad Foral de Navarra,111,586,20,1515,15,19,2021-04-01
Comunidad Valenciana,261,228,79,831,39,71,2021-04-01
España,7937,639,1843,1841,1043,1297,2021-04-01
Extremadura,61,207,14,66,7,10,2021-04-01
Galicia,195,233,28,363,33,28,2021-04-01
Islas Baleares,66,204,19,683,4,16,2021-04-01
Islas Canarias,251,46,83,174,23,34,2021-04-01
La Rioja,49,678,18,3396,6,4,2021-04-01
Melilla,27,1484,2,1176,3,4,2021-04-01
País Vasco,449,923,83,1912,61,83,2021-04-01
Principado de Asturias,226,655,62,1908,38,38,2021-04-01
Región de Murcia,93,226,33,679,18,11,2021-04-01
Andalucía,1153,64,268,1442,136,97,2021-04-03
Aragón,294,704,50,2155,25,16,2021-04-03
Cantabria,82,522,20,1667,15,3,2021-04-03
Castilla y León,471,692,127,2339,46,21,2021-04-03
Castilla-La Mancha,279,575,52,1379,36,14,2021-04-03
Cataluña,2010,815,480,3436,216,145,2021-04-03
Ceuta,22,11,6,3529,0,1,2021-04-03
Comunidad de Madrid,2190,1304,436,3525,210,92,2021-04-03
Comunidad Foral de Navarra,131,691,20,1493,22,11,2021-04-03
Comunidad Valenciana,270,236,79,84,33,17,2021-04-03
España,8416,68,1892,1915,914,520,2021-04-03
Extremadura,79,268,24,1132,3,1,2021-04-03
Galicia,193,231,30,39,27,12,2021-04-03
Islas Baleares,67,208,19,683,5,2,2021-04-03
Islas Canarias,261,477,82,1756,26,2,2021-04-03
La Rioja,61,844,19,3585,12,3,2021-04-03
Melilla,31,1703,4,2353,4,4,2021-04-03
País Vasco,490,995,81,1893,60,58,2021-04-03
Principado de Asturias,235,681,64,1969,22,15,2021-04-03
Región de Murcia,97,236,31,638,16,6,2021-04-03
Andalucía,1337,738,282,1489,170,80,2021-04-05
Aragón,325,779,51,2198,34,12,2021-04-05
Cantabria,84,534,19,1583,9,7,2021-04-05
Castilla y León,506,746,131,2413,41,12,2021-04-05
Castilla-La Mancha,323,665,58,1543,29,4,2021-04-05
Cataluña,1984,897,472,3501,218,122,2021-04-05
Ceuta,24,1194,5,2941,4,0,2021-04-05
Comunidad de Madrid,2460,1514,460,3731,210,92,2021-04-05
Comunidad Foral de Navarra,131,691,20,1493,21,11,2021-04-05
Comunidad Valenciana,263,247,79,895,31,16,2021-04-05
España,8944,749,1925,1965,931,437,2021-04-05
Extremadura,79,268,15,708,6,2,2021-04-05
Galicia,206,246,30,385,25,9,2021-04-05
Islas Baleares,67,208,19,693,5,1,2021-04-05
Islas Canarias,278,507,80,1677,17,4,2021-04-05
La Rioja,60,83,19,3585,12,3,2021-04-05
Melilla,36,1978,7,4118,6,2,2021-04-05
País Vasco,428,992,79,2015,54,45,2021-04-05
Principado de Asturias,250,719,66,2025,22,9,2021-04-05
Región de Murcia,103,25,33,679,17,6,2021-04-05
Andalucía,1367,755,287,1514,199,159,2021-04-06
Aragón,308,735,47,2026,32,46,2021-04-06
Cantabria,78,496,21,175,12,15,2021-04-06
Castilla y León,517,764,123,2282,72,36,2021-04-06
Castilla-La Mancha,323,665,58,1538,30,29,2021-04-06
Cataluña,2340,942,532,37,236,129,2021-04-06
Ceuta,26,1294,4,2353,4,2,2021-04-06
Comunidad de Madrid,2417,1417,455,3681,276,275,2021-04-06
Comunidad Foral de Navarra,151,796,25,1852,25,10,2021-04-06
Comunidad Valenciana,281,248,77,818,26,15,2021-04-06
España,9463,761,1990,1992,1126,850,2021-04-06
Extremadura,76,258,14,66,8,6,2021-04-06
Galicia,202,241,28,359,41,36,2021-04-06
Islas Baleares,70,217,20,719,8,2,2021-04-06
Islas Canarias,290,529,86,1803,33,31,2021-04-06
La Rioja,63,871,19,3585,2,1,2021-04-06
Melilla,39,2143,7,4118,4,1,2021-04-06
País Vasco,566,1151,93,2153,65,27,2021-04-06
Principado de Asturias,256,732,68,2086,37,19,2021-04-06
Región de Murcia,93,225,26,535,16,11,2021-04-06
Andalucía,1365,754,284,1499,189,194,2021-04-07
Aragón,298,711,44,1897,37,46,2021-04-07
Cantabria,70,445,18,15,7,12,2021-04-07
Castilla y León,513,756,120,2194,67,45,2021-04-07
Castilla-La Mancha,327,666,58,1538,32,26,2021-04-07
Cataluña,2313,919,544,3786,272,267,2021-04-07
Ceuta,24,1194,4,2353,2,4,2021-04-07
Comunidad de Madrid,2442,1418,474,3801,320,270,2021-04-07
Comunidad Foral de Navarra,158,834,28,2074,26,16,2021-04-07
Comunidad Valenciana,282,247,71,76,42,45,2021-04-07
España,9412,752,2009,2009,1184,1132,2021-04-07
Extremadura,84,285,17,802,17,6,2021-04-07
Galicia,182,217,25,321,22,28,2021-04-07
Islas Baleares,67,206,19,683,5,5,2021-04-07
Islas Canarias,285,519,90,1887,27,34,2021-04-07
La Rioja,60,83,19,3585,7,10,2021-04-07
Melilla,39,2143,6,3529,7,7,2021-04-07
País Vasco,568,1143,94,2166,76,82,2021-04-07
Principado de Asturias,241,688,66,2025,20,27,2021-04-07
Región de Murcia,94,228,28,576,9,8,2021-04-07
Andalucía,1397,771,287,1515,183,151,2021-04-08
Aragón,307,731,42,181,45,32,2021-04-08
Cantabria,71,452,18,15,9,3,2021-04-08
Castilla y León,519,763,119,2208,66,50,2021-04-08
Castilla-La Mancha,349,71,58,1547,42,18,2021-04-08
Cataluña,2260,895,559,3858,232,301,2021-04-08
Ceuta,29,145,4,2353,5,0,2021-04-08
Comunidad de Madrid,2442,1423,475,3856,301,267,2021-04-08
Comunidad Foral de Navarra,168,887,29,2148,18,12,2021-04-08
Comunidad Valenciana,273,239,69,739,41,31,2021-04-08
España,9384,75,2024,2026,1136,1080,2021-04-08
Extremadura,82,278,18,849,6,6,2021-04-08
Galicia,171,203,22,282,24,27,2021-04-08
Islas Baleares,60,185,16,576,8,14,2021-04-08
Islas Canarias,273,498,86,1803,25,26,2021-04-08
La Rioja,63,871,21,3962,10,7,2021-04-08
Melilla,42,2308,6,3529,8,5,2021-04-08
País Vasco,560,1121,100,2304,78,88,2021-04-08
Principado de Asturias,222,634,63,1933,17,31,2021-04-08
Región de Murcia,96,233,32,658,18,11,2021-04-08
Andalucía,1380,761,287,1515,196,203,2021-04-09
Aragón,300,712,40,1724,42,43,2021-04-09
Cantabria,73,464,16,1333,14,11,2021-04-09
Castilla y León,525,77,122,2263,65,43,2021-04-09
Castilla-La Mancha,343,707,58,1555,29,24,2021-04-09
Cataluña,2242,893,575,3968,268,301,2021-04-09
Ceuta,29,145,4,2353,1,1,2021-04-09
Comunidad de Madrid,2480,1442,492,3927,286,220,2021-04-09
Comunidad Foral de Navarra,163,859,31,2263,17,21,2021-04-09
Comunidad Valenciana,254,222,68,733,36,29,2021-04-09
España,9359,748,2050,2048,1133,1060,2021-04-09
Extremadura,88,299,18,849,6,10,2021-04-09
Galicia,164,195,22,282,22,17,2021-04-09
Islas Baleares,63,193,17,612,8,4,2021-04-09
Islas Canarias,264,48,80,1677,19,26,2021-04-09
La Rioja,69,954,20,3774,7,3,2021-04-09
Melilla,44,2418,3,1765,6,1,2021-04-09
País Vasco,566,113,102,2308,80,77,2021-04-09
Principado de Asturias,214,611,64,1963,20,18,2021-04-09
Región de Murcia,98,237,31,638,11,8,2021-04-09
Andalucía,1508,832,293,1545,161,84,2021-04-12
Aragón,333,792,47,2026,31,3,2021-04-12
Cantabria,90,573,17,1417,13,3,2021-04-12
Castilla y León,520,762,134,2495,34,21,2021-04-12
Castilla-La Mancha,359,738,67,1801,22,10,2021-04-12
Cataluña,2547,1014,579,3974,223,113,2021-04-12
Ceuta,32,1592,4,2353,0,0,2021-04-12
Comunidad de Madrid,2641,1523,519,409,178,92,2021-04-12
Comunidad Foral de Navarra,178,914,37,2701,14,12,2021-04-12
Comunidad Valenciana,251,223,71,767,24,18,2021-04-12
España,10246,819,2163,2157,894,404,2021-04-12
Extremadura,100,339,17,802,9,0,2021-04-12
Galicia,212,252,27,347,36,4,2021-04-12
Islas Baleares,63,194,21,755,4,1,2021-04-12
Islas Canarias,303,551,87,1824,27,5,2021-04-12
La Rioja,76,1051,21,3962,8,2,2021-04-12
Melilla,49,2692,4,2353,3,1,2021-04-12
País Vasco,658,1309,121,2775,80,22,2021-04-12
Principado de Asturias,240,686,67,2055,21,7,2021-04-12
Región de Murcia,86,208,30,617,6,6,2021-04-12
Andalucía,1496,825,286,1508,236,226,2021-04-13
Aragón,334,793,46,1983,56,42,2021-04-13
Cantabria,83,546,19,1583,16,14,2021-04-13
Castilla y León,524,777,135,2616,79,73,2021-04-13
Castilla-La Mancha,370,75,72,191,40,29,2021-04-13
Cataluña,2309,917,574,3959,236,301,2021-04-13
Ceuta,34,17,4,2353,4,2,2021-04-13
Comunidad de Madrid,2607,1502,516,4073,330,359,2021-04-13
Comunidad Foral de Navarra,183,938,40,292,19,13,2021-04-13
Comunidad Valenciana,255,227,72,787,40,22,2021-04-13
España,9953,796,2152,2156,1318,1353,2021-04-13
Extremadura,100,339,15,708,9,9,2021-04-13
Galicia,188,228,24,313,34,32,2021-04-13
Islas Baleares,62,191,21,755,5,5,2021-04-13
Islas Canarias,290,526,87,1824,25,36,2021-04-13
La Rioja,77,1065,20,3774,12,12,2021-04-13
Melilla,47,2582,4,2353,7,9,2021-04-13
País Vasco,667,1316,122,2773,123,124,2021-04-13
Principado de Asturias,242,691,68,2086,33,34,2021-04-13
Región de Murcia,85,206,27,556,14,11,2021-04-13
Andalucía,1494,824,288,1519,190,198,2021-04-14
Aragón,339,805,48,2069,39,41,2021-04-14
Cantabria,81,534,22,1864,10,9,2021-04-14
Castilla y León,502,785,126,251,57,40,2021-04-14
Castilla-La Mancha,355,721,74,1958,33,51,2021-04-14
Cataluña,2248,891,566,3871,235,286,2021-04-14
Ceuta,32,16,5,2941,3,4,2021-04-14
Comunidad de Madrid,2600,1488,526,4138,278,282,2021-04-14
Comunidad Foral de Navarra,185,947,38,2774,28,22,2021-04-14
Comunidad Valenciana,244,214,71,77,32,38,2021-04-14
España,9795,784,2153,2156,1138,1206,2021-04-14
Extremadura,88,299,14,66,3,12,2021-04-14
Galicia,190,23,23,3,32,17,2021-04-14
Islas Baleares,58,178,21,755,6,12,2021-04-14
Islas Canarias,264,479,87,1824,22,29,2021-04-14
La Rioja,77,1065,20,3774,7,6,2021-04-14
Melilla,44,2418,4,2353,5,8,2021-04-14
País Vasco,664,1313,125,286,108,117,2021-04-14
Principado de Asturias,243,694,69,2117,39,26,2021-04-14
Región de Murcia,87,211,26,535,11,8,2021-04-14
Andalucía,1480,816,292,154,207,214,2021-04-15
Aragón,353,839,49,2112,48,32,2021-04-15
Cantabria,84,554,20,1695,13,11,2021-04-15
Castilla y León,532,776,136,2537,64,61,2021-04-15
Castilla-La Mancha,371,754,74,1963,56,41,2021-04-15
Cataluña,2172,871,550,3809,230,273,2021-04-15
Ceuta,34,1692,5,2941,3,1,2021-04-15
Comunidad de Madrid,2591,1482,531,4139,313,298,2021-04-15
Comunidad Foral de Navarra,182,932,40,292,16,23,2021-04-15
Comunidad Valenciana,234,205,63,684,20,72,2021-04-15
España,9724,776,2143,2139,1179,1241,2021-04-15
Extremadura,89,303,8,388,10,12,2021-04-15
Galicia,185,22,22,282,35,23,2021-04-15
Islas Baleares,55,169,21,755,3,7,2021-04-15
Islas Canarias,267,484,89,1866,22,26,2021-04-15
La Rioja,72,996,21,3962,6,8,2021-04-15
Melilla,37,2033,4,2353,3,10,2021-04-15
País Vasco,660,1303,122,2785,87,93,2021-04-15
Principado de Asturias,240,686,70,2147,33,27,2021-04-15
Región de Murcia,86,208,26,535,10,9,2021-04-15
Andalucía,1496,825,286,1508,208,191,2021-04-16
Aragón,338,803,53,2284,34,47,2021-04-16
Cantabria,87,574,21,178,11,7,2021-04-16
Castilla y León,548,797,139,2584,64,32,2021-04-16
Castilla-La Mancha,373,759,79,2107,42,36,2021-04-16
Cataluña,2197,87,561,3822,248,248,2021-04-16
Ceuta,35,1741,4,2353,4,3,2021-04-16
Comunidad de Madrid,2619,1497,549,4253,303,275,2021-04-16
Comunidad Foral de Navarra,164,839,41,2993,19,23,2021-04-16
Comunidad Valenciana,239,21,60,655,19,17,2021-04-16
España,9788,779,2180,2171,1161,1056,2021-04-16
Extremadura,83,282,8,383,6,8,2021-04-16
Galicia,193,229,26,334,36,9,2021-04-16
Islas Baleares,58,178,21,755,8,5,2021-04-16
Islas Canarias,279,505,91,1908,29,20,2021-04-16
La Rioja,73,101,22,4151,8,8,2021-04-16
Melilla,43,2363,4,2353,10,4,2021-04-16
País Vasco,650,1287,123,286,78,89,2021-04-16
Principado de Asturias,230,657,71,2178,24,20,2021-04-16
Región de Murcia,83,201,21,432,10,14,2021-04-16
Andalucía,1613,889,312,1646,166,104,2021-04-19
Aragón,391,937,59,2543,37,8,2021-04-19
Cantabria,89,587,24,2034,4,2,2021-04-19
Castilla y León,549,795,137,2546,39,13,2021-04-19
Castilla-La Mancha,441,897,85,2243,59,8,2021-04-19
Cataluña,2192,874,562,3844,144,83,2021-04-19
Ceuta,31,1542,5,2941,0,1,2021-04-19
Comunidad de Madrid,2846,1618,575,4087,244,100,2021-04-19
Comunidad Foral de Navarra,197,1007,42,3066,16,5,2021-04-19
Comunidad Valenciana,267,234,67,731,33,5,2021-04-19
España,10447,832,2276,224,931,391,2021-04-19
Extremadura,89,302,11,526,5,1,2021-04-19
Galicia,208,247,35,449,38,11,2021-04-19
Islas Baleares,64,197,20,719,5,0,2021-04-19
Islas Canarias,301,542,87,1824,28,7,2021-04-19
La Rioja,74,1024,22,4151,5,2,2021-04-19
Melilla,42,2308,5,2941,6,3,2021-04-19
País Vasco,727,1449,137,3179,71,32,2021-04-19
Principado de Asturias,246,706,73,2239,25,5,2021-04-19
Región de Murcia,80,195,18,367,6,1,2021-04-19
Andalucía,1595,88,309,1631,209,218,2021-04-20
Aragón,379,907,58,25,52,53,2021-04-20
Cantabria,93,613,22,1864,20,16,2021-04-20
Castilla y León,531,771,140,2627,66,69,2021-04-20
Castilla-La Mancha,442,9,80,2122,54,38,2021-04-20
Cataluña,2183,867,555,3786,244,285,2021-04-20
Ceuta,28,1393,5,2941,1,4,2021-04-20
Comunidad de Madrid,2801,1604,589,4541,297,231,2021-04-20
Comunidad Foral de Navarra,212,1083,43,3139,25,15,2021-04-20
Comunidad Valenciana,249,219,66,709,23,31,2021-04-20
España,10345,824,2289,2274,1259,1175,2021-04-20
Extremadura,89,302,12,574,10,6,2021-04-20
Galicia,216,256,39,501,47,23,2021-04-20
Islas Baleares,60,184,23,827,3,6,2021-04-20
Islas Canarias,298,537,86,1803,28,15,2021-04-20
La Rioja,70,968,23,434,7,11,2021-04-20
Melilla,35,1923,4,2353,4,10,2021-04-20
País Vasco,741,1461,147,3356,125,109,2021-04-20
Principado de Asturias,243,695,70,2147,34,21,2021-04-20
Región de Murcia,80,194,18,37,10,14,2021-04-20
Andalucía,1559,86,313,1649,196,214,2021-04-21
Aragón,367,878,58,25,41,44,2021-04-21
Cantabria,90,593,21,178,13,14,2021-04-21
Castilla y León,546,793,144,2682,76,58,2021-04-21
Castilla-La Mancha,426,867,83,2202,41,47,2021-04-21
Cataluña,2109,834,541,3708,204,301,2021-04-21
Ceuta,25,1244,6,3529,3,4,2021-04-21
Comunidad de Madrid,2727,1551,595,4508,341,294,2021-04-21
Comunidad Foral de Navarra,196,1001,41,2993,23,36,2021-04-21
Comunidad Valenciana,241,212,69,745,30,32,2021-04-21
España,10108,803,2288,2268,1231,1268,2021-04-21
Extremadura,91,309,13,622,5,5,2021-04-21
Galicia,212,252,41,526,43,21,2021-04-21
Islas Baleares,57,174,23,827,7,8,2021-04-21
Islas Canarias,277,5,83,174,26,29,2021-04-21
La Rioja,72,996,23,434,8,7,2021-04-21
Melilla,30,1648,4,2353,2,7,2021-04-21
País Vasco,767,151,146,3318,127,110,2021-04-21
Principado de Asturias,242,692,69,2117,37,26,2021-04-21
Región de Murcia,74,179,15,309,8,11,2021-04-21
Andalucía,1501,828,317,167,176,211,2021-04-22
Aragón,384,917,59,2543,55,32,2021-04-22
Cantabria,88,58,18,1525,10,14,2021-04-22
Castilla y León,541,785,145,27,62,46,2021-04-22
Castilla-La Mancha,428,878,84,2264,46,35,2021-04-22
Cataluña,2063,816,535,3664,233,246,2021-04-22
Ceuta,27,1357,8,4706,3,0,2021-04-22
Comunidad de Madrid,2777,1575,598,4486,321,291,2021-04-22
Comunidad Foral de Navarra,188,96,35,2555,16,24,2021-04-22
Comunidad Valenciana,244,214,67,724,29,62,2021-04-22
España,10049,799,2283,2262,1178,1169,2021-04-22
Extremadura,85,289,10,478,9,12,2021-04-22
Galicia,212,252,42,539,46,27,2021-04-22
Islas Baleares,60,184,23,827,7,6,2021-04-22
Islas Canarias,272,491,86,1803,22,18,2021-04-22
La Rioja,71,982,21,3962,8,11,2021-04-22
Melilla,26,1429,5,2941,2,6,2021-04-22
País Vasco,773,1525,147,3326,101,106,2021-04-22
Principado de Asturias,233,667,68,2086,27,18,2021-04-22
Región de Murcia,76,184,15,309,5,4,2021-04-22
Andalucía,1473,813,316,1665,173,206,2021-04-23
Aragón,370,881,58,25,57,67,2021-04-23
Cantabria,97,639,19,161,12,5,2021-04-23
Castilla y León,531,773,144,2682,66,66,2021-04-23
Castilla-La Mancha,416,853,89,2418,42,48,2021-04-23
Cataluña,2048,806,545,3761,233,268,2021-04-23
Ceuta,26,1307,7,4118,3,4,2021-04-23
Comunidad de Madrid,2788,158,591,4434,305,244,2021-04-23
Comunidad Foral de Navarra,186,95,36,2628,17,18,2021-04-23
Comunidad Valenciana,228,2,66,715,23,27,2021-04-23
España,9989,793,2297,228,1186,1156,2021-04-23
Extremadura,85,289,12,574,11,10,2021-04-23
Galicia,204,242,42,539,26,25,2021-04-23
Islas Baleares,59,181,18,652,5,8,2021-04-23
Islas Canarias,266,48,83,174,19,17,2021-04-23
La Rioja,75,1037,21,3962,11,6,2021-04-23
Melilla,26,1429,5,2941,5,5,2021-04-23
País Vasco,803,1577,159,3622,144,103,2021-04-23
Principado de Asturias,230,658,69,2117,23,23,2021-04-23
Región de Murcia,78,189,17,35,11,6,2021-04-23
Andalucía,1531,845,339,1791,145,98,2021-04-26
Aragón,399,95,63,2716,26,12,2021-04-26
Cantabria,105,692,23,1949,10,2,2021-04-26
Castilla y León,603,881,147,2811,56,19,2021-04-26
Castilla-La Mancha,440,901,79,2112,21,30,2021-04-26
Cataluña,2082,826,561,3835,162,87,2021-04-26
Ceuta,27,1357,7,4118,2,0,2021-04-26
Comunidad de Madrid,2886,1646,599,4531,212,98,2021-04-26
Comunidad Foral de Navarra,178,908,38,2774,13,12,2021-04-26
Comunidad Valenciana,233,204,64,689,23,12,2021-04-26
España,10380,826,2356,2335,839,435,2021-04-26
Extremadura,82,278,15,718,4,5,2021-04-26
Galicia,212,252,42,542,35,12,2021-04-26
Islas Baleares,58,178,18,652,5,2,2021-04-26
Islas Canarias,273,492,77,1614,10,3,2021-04-26
La Rioja,80,1107,20,3774,8,3,2021-04-26
Melilla,26,1429,6,3529,2,1,2021-04-26
País Vasco,841,1661,177,3951,75,33,2021-04-26
Principado de Asturias,240,687,63,1933,17,3,2021-04-26
Región de Murcia,84,205,18,37,13,3,2021-04-26
Andalucía,1507,834,352,1857,212,237,2021-04-27
Aragón,392,931,61,2629,44,53,2021-04-27
Cantabria,111,732,21,178,19,12,2021-04-27
Castilla y León,570,83,145,27,37,53,2021-04-27
Castilla-La Mancha,440,9,78,2074,50,51,2021-04-27
Cataluña,2057,816,553,3793,222,270,2021-04-27
Ceuta,27,1357,6,3529,1,1,2021-04-27
Comunidad de Madrid,2829,1609,583,4433,306,338,2021-04-27
Comunidad Foral de Navarra,189,964,40,292,32,20,2021-04-27
Comunidad Valenciana,224,196,58,624,30,36,2021-04-27
España,10205,812,2331,2312,1171,1318,2021-04-27
Extremadura,80,272,14,67,6,10,2021-04-27
Galicia,219,26,42,542,36,25,2021-04-27
Islas Baleares,55,169,20,725,4,7,2021-04-27
Islas Canarias,265,478,74,1551,17,19,2021-04-27
La Rioja,79,1093,20,3774,9,9,2021-04-27
Melilla,27,1484,6,3529,2,1,2021-04-27
País Vasco,822,1632,180,4036,111,140,2021-04-27
Principado de Asturias,225,643,61,1871,18,22,2021-04-27
Región de Murcia,87,213,17,35,15,14,2021-04-27
Andalucía,1469,811,354,1867,185,227,2021-04-28
Aragón,376,895,64,2759,34,45,2021-04-28
Cantabria,107,705,23,1949,17,17,2021-04-28
Castilla y León,527,772,142,2659,60,76,2021-04-28
Castilla-La Mancha,451,922,77,2053,50,38,2021-04-28
Cataluña,1998,79,548,3746,215,258,2021-04-28
Ceuta,30,1508,7,4118,5,1,2021-04-28
Comunidad de Madrid,2798,1587,579,4376,291,299,2021-04-28
Comunidad Foral de Navarra,187,954,41,2993,24,22,2021-04-28
Comunidad Valenciana,235,206,55,589,30,24,2021-04-28
España,9985,794,2316,2299,1114,1219,2021-04-28
Extremadura,74,252,15,754,3,9,2021-04-28
Galicia,209,248,41,529,27,18,2021-04-28
Islas Baleares,57,172,21,761,7,8,2021-04-28
Islas Canarias,241,434,71,1488,15,20,2021-04-28
La Rioja,83,1148,21,3962,11,7,2021-04-28
Melilla,27,1484,6,3529,0,0,2021-04-28
País Vasco,816,1618,173,387,106,121,2021-04-28
Principado de Asturias,217,62,60,184,25,18,2021-04-28
Región de Murcia,83,204,18,379,9,11,2021-04-28
Andalucía,1450,8,351,1851,167,191,2021-04-29
Aragón,365,869,63,2716,29,38,2021-04-29
Cantabria,100,659,23,1949,10,18,2021-04-29
Castilla y León,530,777,142,2684,64,54,2021-04-29
Castilla-La Mancha,441,902,76,2027,50,49,2021-04-29
Cataluña,1955,773,541,3728,204,239,2021-04-29
Ceuta,27,1343,6,3529,1,4,2021-04-29
Comunidad de Madrid,2731,1548,588,4441,268,335,2021-04-29
Comunidad Foral de Navarra,185,943,40,292,14,13,2021-04-29
Comunidad Valenciana,235,206,55,591,31,22,2021-04-29
España,9787,778,2320,2304,1030,1182,2021-04-29
Extremadura,71,241,14,683,5,9,2021-04-29
Galicia,211,25,44,568,31,25,2021-04-29
Islas Baleares,60,182,22,797,9,5,2021-04-29
Islas Canarias,238,427,75,1572,17,24,2021-04-29
La Rioja,73,101,21,3962,4,12,2021-04-29
Melilla,20,1099,6,3529,0,7,2021-04-29
País Vasco,800,159,176,3851,96,114,2021-04-29
Principado de Asturias,220,629,59,181,23,15,2021-04-29
Región de Murcia,75,184,18,379,7,8,2021-04-29
Andalucía,1398,771,349,1833,158,212,2021-04-30
Aragón,368,876,62,2672,43,38,2021-04-30
Cantabria,97,639,22,1864,12,13,2021-04-30
Castilla y León,522,765,140,2637,62,54,2021-04-30
Castilla-La Mancha,441,902,78,208,40,44,2021-04-30
Cataluña,1931,765,540,3724,200,232,2021-04-30
Ceuta,23,1139,6,3529,0,4,2021-04-30
Comunidad de Madrid,2721,1546,590,4466,288,256,2021-04-30
Comunidad Foral de Navarra,182,929,39,2847,15,16,2021-04-30
Comunidad Valenciana,215,188,55,592,26,28,2021-04-30
España,9668,769,2308,2292,1057,1107,2021-04-30
Extremadura,68,232,14,704,2,11,2021-04-30
Galicia,204,242,45,581,31,23,2021-04-30
Islas Baleares,62,188,22,797,11,7,2021-04-30
Islas Canarias,233,42,69,1447,16,20,2021-04-30
La Rioja,73,101,21,3962,5,6,2021-04-30
Melilla,21,1154,5,2941,1,2,2021-04-30
País Vasco,822,1636,171,3725,115,109,2021-04-30
Principado de Asturias,214,612,59,181,25,25,2021-04-30
Región de Murcia,73,177,21,442,7,7,2021-04-30
Andalucía,1376,759,358,1888,127,79,2021-05-03
Aragón,388,924,65,2826,34,15,2021-05-03
Cantabria,116,765,24,2034,14,4,2021-05-03
Castilla y León,521,763,135,2542,45,13,2021-05-03
Castilla-La Mancha,480,962,87,2364,34,7,2021-05-03
Cataluña,1930,775,519,3584,162,120,2021-05-03
Ceuta,23,1133,5,2941,1,0,2021-05-03
Comunidad de Madrid,2762,1582,594,447,208,117,2021-05-03
Comunidad Foral de Navarra,172,878,36,2628,14,17,2021-05-03
Comunidad Valenciana,222,194,59,643,25,10,2021-05-03
España,9747,778,2323,231,817,466,2021-05-03
Extremadura,58,197,13,622,3,3,2021-05-03
Galicia,222,264,49,632,29,5,2021-05-03
Islas Baleares,72,218,24,87,9,2,2021-05-03
Islas Canarias,242,437,70,1468,12,5,2021-05-03
La Rioja,78,1079,22,4151,6,5,2021-05-03
Melilla,24,1319,5,2941,2,1,2021-05-03
País Vasco,791,1589,179,3883,65,55,2021-05-03
Principado de Asturias,195,557,54,1688,16,4,2021-05-03
Región de Murcia,75,182,25,526,11,4,2021-05-03
Andalucía,1332,736,350,1846,139,188,2021-05-04
